Extraction Date:,5/30/2018,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,,,
Revised:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
School Year,State,Exit Code,Disability,Age 14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20,Age 21,Age 14 to 21 total,Hispanic/Latino,American Indian or Alaska Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Two or more races,Male,Female,Limited English proficiency,Non-limited English proficiency
2016-2017,Mississippi,Received a certificate,Traumatic brain injury,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Mississippi,Total exiting school,Traumatic brain injury,0,0,0,3,9,0,1,0,13,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Mississippi,Total exiting special education,Traumatic brain injury,1,0,1,3,9,0,2,0,16,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Mississippi,Transferred to regular education,Traumatic brain injury,0,0,0,0,0,0,1,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Mississippi,Died,Visual impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Mississippi,Dropped out,Visual impairment,0,0,0,0,1,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Mississippi,Graduated with a regular high school diploma and received a certificate,Visual impairment,0,0,0,13,9,8,2,0,32,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Mississippi,Graduated with regular high school diploma,Visual impairment,-,-,0,13,7,4,0,0,24,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Mississippi,"Moved, known to be continuing",Visual impairment,1,0,2,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Mississippi,Reached maximum age,Visual impairment,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Mississippi,Received a certificate,Visual impairment,0,0,0,0,2,4,2,0,8,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Mississippi,Total exiting school,Visual impairment,0,0,0,13,10,8,2,0,33,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Mississippi,Total exiting special education,Visual impairment,1,0,2,13,11,8,2,0,37,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Mississippi,Transferred to regular education,Visual impairment,0,0,0,0,1,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Died,All Disabilities,7,8,7,7,7,1,1,0,38,1,0,0,12,0,25,0,32,6,0,38
2016-2017,Missouri,Dropped out,All Disabilities,50,68,138,316,221,79,26,14,912,38,3,3,374,1,467,26,641,271,13,899
2016-2017,Missouri,Graduated with a regular high school diploma and received a certificate,All Disabilities,0,0,26,2515,2810,549,231,50,6181,234,33,53,1282,6,4463,110,4075,2106,54,6127
2016-2017,Missouri,Graduated with regular high school diploma,All Disabilities,x,x,x,x,x,x,x,x,x,234,33,53,1281,6,4462,110,4074,2105,54,6125
2016-2017,Missouri,"Moved, known to be continuing",All Disabilities,572,565,682,580,328,90,37,8,2862,147,21,13,752,1,1849,79,1906,956,36,2826
2016-2017,Missouri,Reached maximum age,All Disabilities,-,-,-,-,-,-,5,54,59,0,1,0,25,0,33,0,55,4,0,59
2016-2017,Missouri,Received a certificate,All Disabilities,x,x,x,x,x,x,x,x,x,0,0,0,1,0,1,0,1,1,0,2
2016-2017,Missouri,Total exiting school,All Disabilities,57,76,171,2838,3038,629,263,118,7190,273,37,56,1693,7,4988,136,4803,2387,67,7123
2016-2017,Missouri,Total exiting special education,All Disabilities,948,939,1126,3683,3519,739,301,127,11382,481,67,83,2583,11,7902,255,7583,3799,114,11268
2016-2017,Missouri,Transferred to regular education,All Disabilities,319,298,273,265,153,20,1,1,1330,61,9,14,138,3,1065,40,874,456,11,1319
2016-2017,Missouri,Died,Autism,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Dropped out,Autism,1,1,2,6,4,2,0,0,16,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Graduated with a regular high school diploma and received a certificate,Autism,0,0,1,227,244,43,43,18,576,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Graduated with regular high school diploma,Autism,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,"Moved, known to be continuing",Autism,47,36,39,30,22,14,7,3,198,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Reached maximum age,Autism,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Received a certificate,Autism,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Total exiting school,Autism,1,1,3,233,248,45,43,18,592,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Total exiting special education,Autism,61,49,51,275,276,59,50,22,843,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Transferred to regular education,Autism,13,12,9,12,6,0,0,1,53,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Died,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Dropped out,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Graduated with a regular high school diploma and received a certificate,Deaf-blindness,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Graduated with regular high school diploma,Deaf-blindness,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,"Moved, known to be continuing",Deaf-blindness,0,0,0,1,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Reached maximum age,Deaf-blindness,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Received a certificate,Deaf-blindness,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Total exiting school,Deaf-blindness,0,0,0,1,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Total exiting special education,Deaf-blindness,0,0,0,2,0,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Transferred to regular education,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Died,Emotional disturbance,0,0,0,1,2,0,0,0,3,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Dropped out,Emotional disturbance,5,12,23,70,40,8,4,2,164,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Graduated with a regular high school diploma and received a certificate,Emotional disturbance,0,0,5,210,182,42,11,1,451,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Graduated with regular high school diploma,Emotional disturbance,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,"Moved, known to be continuing",Emotional disturbance,97,92,113,98,43,16,4,0,463,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Reached maximum age,Emotional disturbance,-,-,-,-,-,-,0,7,7,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Received a certificate,Emotional disturbance,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Total exiting school,Emotional disturbance,5,12,28,281,224,50,15,10,625,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Total exiting special education,Emotional disturbance,123,125,168,403,277,66,19,10,1191,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Transferred to regular education,Emotional disturbance,21,21,27,24,10,0,0,0,103,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Died,Hearing impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Dropped out,Hearing impairment,1,0,0,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Graduated with a regular high school diploma and received a certificate,Hearing impairment,0,0,0,17,35,11,2,0,65,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Graduated with regular high school diploma,Hearing impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,"Moved, known to be continuing",Hearing impairment,2,4,6,4,1,0,1,0,18,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Reached maximum age,Hearing impairment,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Received a certificate,Hearing impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Total exiting school,Hearing impairment,1,0,0,17,35,11,2,0,66,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Total exiting special education,Hearing impairment,7,9,9,25,37,11,3,0,101,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Transferred to regular education,Hearing impairment,4,5,3,4,1,0,0,0,17,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Died,Intellectual disability,0,2,0,1,2,0,1,0,6,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Dropped out,Intellectual disability,7,8,13,25,20,7,8,1,89,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Graduated with a regular high school diploma and received a certificate,Intellectual disability,0,0,3,175,326,127,90,16,737,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Graduated with regular high school diploma,Intellectual disability,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,"Moved, known to be continuing",Intellectual disability,37,47,60,69,42,18,8,2,283,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Reached maximum age,Intellectual disability,-,-,-,-,-,-,2,4,6,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Received a certificate,Intellectual disability,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Total exiting school,Intellectual disability,7,10,16,201,348,134,101,21,838,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Total exiting special education,Intellectual disability,50,62,85,277,397,153,109,23,1156,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Transferred to regular education,Intellectual disability,6,5,9,7,7,1,0,0,35,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Died,Multiple disabilities,2,0,0,1,2,0,0,0,5,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Dropped out,Multiple disabilities,1,0,0,0,1,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Graduated with a regular high school diploma and received a certificate,Multiple disabilities,0,0,0,11,18,10,38,10,87,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Graduated with regular high school diploma,Multiple disabilities,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,"Moved, known to be continuing",Multiple disabilities,4,4,8,4,6,2,3,0,31,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Reached maximum age,Multiple disabilities,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Received a certificate,Multiple disabilities,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Total exiting school,Multiple disabilities,3,0,0,12,21,10,38,10,94,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Total exiting special education,Multiple disabilities,7,4,8,16,28,12,41,10,126,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Transferred to regular education,Multiple disabilities,0,0,0,0,1,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Died,Orthopedic impairment,0,0,0,1,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Dropped out,Orthopedic impairment,0,0,0,1,1,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Graduated with a regular high school diploma and received a certificate,Orthopedic impairment,0,0,0,7,14,1,3,1,26,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Graduated with regular high school diploma,Orthopedic impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,"Moved, known to be continuing",Orthopedic impairment,4,1,2,1,0,0,0,0,8,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Reached maximum age,Orthopedic impairment,-,-,-,-,-,-,1,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Received a certificate,Orthopedic impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Total exiting school,Orthopedic impairment,0,0,0,9,15,1,4,1,30,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Total exiting special education,Orthopedic impairment,6,2,2,11,16,1,4,1,43,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Transferred to regular education,Orthopedic impairment,2,1,0,1,1,0,0,0,5,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Died,Other health impairment,5,4,4,1,0,0,0,0,14,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Dropped out,Other health impairment,15,22,46,77,71,22,5,4,262,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Graduated with a regular high school diploma and received a certificate,Other health impairment,0,0,9,663,738,119,28,3,1560,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Graduated with regular high school diploma,Other health impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,"Moved, known to be continuing",Other health impairment,158,174,199,149,84,17,8,2,791,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Reached maximum age,Other health impairment,-,-,-,-,-,-,0,16,16,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Received a certificate,Other health impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Total exiting school,Other health impairment,20,26,59,741,809,141,33,23,1852,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Total exiting special education,Other health impairment,219,253,315,948,934,164,42,25,2900,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Transferred to regular education,Other health impairment,41,53,57,58,41,6,1,0,257,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Died,Specific learning disability,0,2,2,2,1,0,0,0,7,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Dropped out,Specific learning disability,12,24,48,116,78,37,9,7,331,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Graduated with a regular high school diploma and received a certificate,Specific learning disability,0,0,6,990,1006,154,10,0,2166,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Graduated with regular high school diploma,Specific learning disability,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,"Moved, known to be continuing",Specific learning disability,171,166,221,194,109,18,6,1,886,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Reached maximum age,Specific learning disability,-,-,-,-,-,-,2,27,29,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Received a certificate,Specific learning disability,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Total exiting school,Specific learning disability,12,26,56,1108,1085,191,21,34,2533,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Total exiting special education,Specific learning disability,299,321,386,1426,1262,220,27,35,3976,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Transferred to regular education,Specific learning disability,116,129,109,124,68,11,0,0,557,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Died,Speech or language impairment,0,0,1,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Dropped out,Speech or language impairment,8,1,6,20,5,3,0,0,43,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Graduated with a regular high school diploma and received a certificate,Speech or language impairment,0,0,1,186,215,37,6,0,445,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Graduated with regular high school diploma,Speech or language impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,"Moved, known to be continuing",Speech or language impairment,48,39,30,27,20,2,0,0,166,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Reached maximum age,Speech or language impairment,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Received a certificate,Speech or language impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Total exiting school,Speech or language impairment,8,1,8,206,220,40,6,0,489,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Total exiting special education,Speech or language impairment,170,112,97,266,256,44,6,0,951,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Transferred to regular education,Speech or language impairment,114,72,59,33,16,2,0,0,296,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Died,Traumatic brain injury,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Dropped out,Traumatic brain injury,0,0,0,1,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Graduated with a regular high school diploma and received a certificate,Traumatic brain injury,0,0,1,19,21,3,0,0,44,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Graduated with regular high school diploma,Traumatic brain injury,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,"Moved, known to be continuing",Traumatic brain injury,2,1,4,2,0,2,0,0,11,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Reached maximum age,Traumatic brain injury,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Received a certificate,Traumatic brain injury,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Total exiting school,Traumatic brain injury,0,0,1,20,21,3,0,0,45,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Total exiting special education,Traumatic brain injury,2,1,5,23,21,5,0,0,57,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Transferred to regular education,Traumatic brain injury,0,0,0,1,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Died,Visual impairment,0,0,0,0,0,1,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Dropped out,Visual impairment,0,0,0,0,1,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Graduated with a regular high school diploma and received a certificate,Visual impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Graduated with regular high school diploma,Visual impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,"Moved, known to be continuing",Visual impairment,2,1,0,1,1,1,0,0,6,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Reached maximum age,Visual impairment,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Received a certificate,Visual impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Total exiting school,Visual impairment,0,0,0,9,12,3,0,1,25,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Total exiting special education,Visual impairment,4,1,0,11,15,4,0,1,36,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Missouri,Transferred to regular education,Visual impairment,2,0,0,1,2,0,0,0,5,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Died,All Disabilities,0,1,2,3,0,0,x,x,6,0,0,0,0,0,5,1,6,0,0,6
2016-2017,Montana,Dropped out,All Disabilities,18,52,76,55,32,3,x,x,236,18,60,1,3,1,147,6,166,70,16,220
2016-2017,Montana,Graduated with a regular high school diploma and received a certificate,All Disabilities,0,0,0,494,350,15,x,x,866,36,114,6,19,1,671,19,563,303,26,840
2016-2017,Montana,Graduated with regular high school diploma,All Disabilities,0,0,0,457,311,12,x,x,786,34,106,6,18,0,607,15,504,282,24,762
2016-2017,Montana,"Moved, known to be continuing",All Disabilities,110,109,94,49,5,0,x,x,367,27,55,1,10,1,256,17,235,132,6,361
2016-2017,Montana,Reached maximum age,All Disabilities,-,-,-,-,0,1,x,x,1,0,1,0,0,0,0,0,0,1,0,1
2016-2017,Montana,Received a certificate,All Disabilities,0,0,0,37,39,3,x,x,80,2,8,0,1,1,64,4,59,21,2,78
2016-2017,Montana,Total exiting school,All Disabilities,18,53,78,552,382,19,x,x,1109,54,175,7,22,2,823,26,735,374,42,1067
2016-2017,Montana,Total exiting special education,All Disabilities,145,191,204,619,393,19,x,x,1578,86,244,8,35,3,1157,45,1033,545,48,1530
2016-2017,Montana,Transferred to regular education,All Disabilities,17,29,32,18,6,0,x,x,102,5,14,0,3,0,78,2,63,39,0,102
2016-2017,Montana,Died,Autism,0,0,0,0,0,0,x,x,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Dropped out,Autism,0,0,0,0,2,0,x,x,2,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Graduated with a regular high school diploma and received a certificate,Autism,0,0,0,13,16,0,x,x,29,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Graduated with regular high school diploma,Autism,0,0,0,12,13,0,x,x,25,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,"Moved, known to be continuing",Autism,4,2,4,0,0,0,x,x,10,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Reached maximum age,Autism,-,-,-,-,0,0,x,x,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Received a certificate,Autism,0,0,0,1,3,0,x,x,4,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Total exiting school,Autism,0,0,0,13,18,0,x,x,31,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Total exiting special education,Autism,4,4,6,13,18,0,x,x,45,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Transferred to regular education,Autism,0,2,2,0,0,0,x,x,4,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Died,Deaf-blindness,0,0,0,0,0,0,x,x,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Dropped out,Deaf-blindness,0,0,0,0,0,0,x,x,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Graduated with a regular high school diploma and received a certificate,Deaf-blindness,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Graduated with regular high school diploma,Deaf-blindness,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,"Moved, known to be continuing",Deaf-blindness,0,0,0,0,0,0,x,x,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Reached maximum age,Deaf-blindness,-,-,-,-,0,0,x,x,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Received a certificate,Deaf-blindness,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Total exiting school,Deaf-blindness,0,0,0,0,1,0,x,x,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Total exiting special education,Deaf-blindness,0,0,0,0,1,0,x,x,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Transferred to regular education,Deaf-blindness,0,0,0,0,0,0,x,x,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Died,Emotional disturbance,0,0,0,0,0,0,x,x,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Dropped out,Emotional disturbance,3,7,15,5,9,1,x,x,40,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Graduated with a regular high school diploma and received a certificate,Emotional disturbance,0,0,0,29,18,3,x,x,50,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Graduated with regular high school diploma,Emotional disturbance,0,0,0,28,16,3,x,x,47,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,"Moved, known to be continuing",Emotional disturbance,15,27,9,6,0,0,x,x,57,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Reached maximum age,Emotional disturbance,-,-,-,-,0,0,x,x,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Received a certificate,Emotional disturbance,0,0,0,1,2,0,x,x,3,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Total exiting school,Emotional disturbance,3,7,15,34,27,4,x,x,90,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Total exiting special education,Emotional disturbance,19,34,26,40,27,4,x,x,150,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Transferred to regular education,Emotional disturbance,1,0,2,0,0,0,x,x,3,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Died,Hearing impairment,0,0,0,0,0,0,x,x,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Dropped out,Hearing impairment,0,0,0,0,0,0,x,x,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Graduated with a regular high school diploma and received a certificate,Hearing impairment,0,0,0,3,3,0,x,x,6,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Graduated with regular high school diploma,Hearing impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,"Moved, known to be continuing",Hearing impairment,0,0,0,1,0,0,x,x,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Reached maximum age,Hearing impairment,-,-,-,-,0,0,x,x,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Received a certificate,Hearing impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Total exiting school,Hearing impairment,0,0,0,3,3,0,x,x,6,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Total exiting special education,Hearing impairment,0,1,0,4,3,0,x,x,8,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Transferred to regular education,Hearing impairment,0,1,0,0,0,0,x,x,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Died,Intellectual disability,0,0,0,1,0,0,x,x,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Dropped out,Intellectual disability,1,2,0,2,0,0,x,x,5,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Graduated with a regular high school diploma and received a certificate,Intellectual disability,0,0,0,24,28,2,x,x,54,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Graduated with regular high school diploma,Intellectual disability,0,0,0,19,20,0,x,x,39,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,"Moved, known to be continuing",Intellectual disability,1,5,4,2,1,0,x,x,13,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Reached maximum age,Intellectual disability,-,-,-,-,0,0,x,x,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Montana,Received a certificate,Intellectual disability,0,0,0,5,8,2,x,x,15,-,-,-,-,-,-,-,-,-,-,-
